song,artist,release_year,composed,genre,appearances,also_performed_by,rating
"Love Songs of Hafiz, for voice & piano, Op. 33~O Love, Hear My Cry",Alan Hovhaness,2001,Alan Hovhaness,None,1,0,None
"Love Songs of Hafiz, for voice & piano, Op. 33~Where Is My Beloved?",Alan Hovhaness,2001,Alan Hovhaness,None,1,0,None
We're Gonna Hold On,George Jones / Tammy Wynette,1977,George Jones,Country,26,7,3.32173913
"Love Story, film score~",James Galway,1940,Francis Lai,Classical,1,0,None
Christmas Cookies,George Strait,2001,Aaron Barker,Holiday,12,6,3.333333333
Drinking Song,Loudon Wainwright III,1972,Loudon Wainwright III,Pop/Rock,8,4,4
"Love Theme From ""The Godfather""",Nino Rota / Carlo Savina,2020,Nino Rota,None,8,27,None
Snowy Morning Blues,Dick Hyman,1992,James P. Johnson,Easy,1,4,5
"Raiders of the Lost Ark, film score~The Raiders' March",Cincinnati Pops Orchestra / Erich Kunzel,1924,John Williams,Classical,2,3,2.35
Love Will Bring Us Back Together,Roy Ayers,1979,Roy Ayers,Gentle,21,3,3.375
El Gran Varon,Willie Colón,1989,Omar Alfanno,Rousing,190,6,3.45
Entre Dos Aguas,Paco de Lucía,1993,Paco de Lucía,International,14,6,3.333333333
Love Wins,Carrie Underwood,2018,David Garcia,None,15,2,3.75
Grandpa (Tell Me 'Bout the Good Old Days),The Judds,1985,Jamie O'Hara,Country,14,6,3.072727273
Lovely Hair,Marvin Hamlisch,2006,Marvin Hamlisch,None,1,1,5
Lovely on the Water,Steeleye Span,1971,Traditional,None,8,1,3.9375
Heartbreak Hill,Emmylou Harris,1988,Emmylou Harris,Country,5,6,3.3
Sorrow Tears and Blood,Fela Kuti,1982,Fela Kuti,International,6,4,4.5
Humble and Kind,Tim McGraw,2015,Lori McKenna,Country,21,6,3.3
I'm Gonna Miss Her,Brad Paisley,2001,Brad Paisley,Country,5,6,3.466666667
"Love Me, I'm a Liberal",Phil Ochs,1976,Phil Ochs,Folk,4,1,3
"Low Symphony, for orchestra~Warszawa",Brooklyn Philharmonic Orchestra / Philip Glass,1933,David Bowie,Classical,1,1,2.7
Feelins',Loretta Lynn / Conway Twitty,1975,Don Goodman,Country,15,4,3.585714286
I'm in a Hurry (And Don't Know Why),Alabama,1994,Roger Murrah,Country,14,6,3.133333333
Heartland,George Strait,1992,John Bettis,Country,8,4,3.675
Love's Gonna Live Here,Waylon Jennings,1997,Bobby Emmons,None,43,0,2.555555556
Lunfardo,Astor Piazzolla,1986,Astor Piazzolla,International,10,6,3.5
March! For Martin Luther King,John Fahey,1969,John Fahey,Folk,6,1,2.583333333
I Love You,Barney,1993,Traditional,Children's,6,4,3.75
Loving Her Was Easier (Than Anything I'll Ever Do Again),Kris Kristofferson,1971,Kris Kristofferson,None,12,16,3.888888889
Loving You (Is the Best Thing That Happened to Me),Little Milton,1994,M. Campbell,None,1,0,4.5
Low Gravy,The Chenille Sisters,1988,Claude Hopkins,None,1,1,4
I'll Be Home for Christmas,Reba McEntire,1987,Kim Gannon,Holiday,11,1,2.916666667
Lowazo,Kanda Bongo Man,1989,Kanda Bongo Man,None,4,0,3
Lowlands,Odetta,1956,None,None,5,0,3.75
Is There Life Out There,Reba McEntire,1991,Rick Giles,Country,15,4,3.75
Lucifer's Lady,Vince Guaraldi,1968,Vince Guaraldi,None,2,0,3.75
Lucinda River/Two People,Marvin Hamlisch,2006,Marvin Hamlisch,None,1,1,5
Santa Fe,Ottmar Liebert,1990,Ottmar Liebert,International,8,6,3.5
Lucky Day,Jonathan Edwards,1974,Jonathan Edwards,None,1,0,3
Lucky Star,Basement Jaxx,2003,Felix Buxton,Electronic,2,0,3.4
Lula Gal,Mike & Peggy Seeger,1977,Jean-Michel Jarre,None,1,0,4
Lullaby,Barbara Higbie,2004,George Winston,None,1,0,3.5
Lullaby,Ali Akbar Khan,1990,Ali Akbar Khan,None,3,2,3
"Lullay, lullow: I saw a swete semely syght, christmas carol for 2 voices",Anonymous 4,1933,None,Classical,2,0,3.1
Lovesick Blues,Patsy Cline,1964,Cliff Friend,Country,87,1,2.514285714
"Requiem, for 2 solo voices, chorus, organ & orchestra, Op. 48~In paradisum",Stephen Cleobury / English Chamber Orchestra / King's College Choir of Cambridge,1944,Gabriel Fauré,Classical,1,3,2.1
Lumen,Cambridge Singers / London Symphony Orchestra / Mannheim Steamroller,1983,Chip Davis,None,2,0,3
Lumen,Cambridge Singers / London Symphony Orchestra / Mannheim Steamroller,1983,Chip Davis,None,2,0,3
Lumen,Cambridge Singers / London Symphony Orchestra / Mannheim Steamroller,1983,Chip Davis,None,2,0,3
Lumotar (The Enchantress),Värttinä,2006,Mari Kaasinen,None,1,0,4
Is There Life Out There,Reba McEntire,1991,Rick Giles,Country,15,4,3.75
It Don't Bother Me,Bert Jansch,1965,Bert Jansch,Pop/Rock,9,4,4
"Lydia, the Tattooed Lady",Dead Milkmen / Dr. Demento,2018,Cy Coben,None,1,0,3.5
Right Field,"Peter, Paul and Mary",1986,Willy Welch,Happy,6,3,2.3
Right Field,"Peter, Paul and Mary",1986,Willy Welch,Happy,6,3,2.3
Right Field,"Peter, Paul and Mary",1986,Willy Welch,Happy,6,3,2.3
Ma Jaiye Oni,King Sunny Ade,1982,King Sunny Ade,International,3,0,4.25
Me and Bobby McGee,Roger Miller,1970,Fred Foster,Country,26,1,2.51875
Macbeth~Act 1. Scena e Cavatina: Nel dì della vittoria io le incontrai,Giuseppe Verdi,2016,Giuseppe Verdi,None,1,0,None
Macbeth~Act 2. Aria: La luce langue,Giuseppe Verdi,2016,Giuseppe Verdi,None,1,0,None
Macbeth~Act 4. Una macchia è qui tuttora,Giuseppe Verdi,2016,Giuseppe Verdi,None,1,2,None
Macdougal Street Special,Elmer Bernstein,1959,Elmer Bernstein,None,4,0,None
Macdougal Street Special,Elmer Bernstein,1959,Elmer Bernstein,None,4,0,None
Mack the Knife,Houston Person,1990,Marc Blitzstein,None,4,307,4.166666667
Jazz Pizzicato,Leroy Anderson,1967,Leroy Anderson,Easy,6,4,4
Mack the Knife,Ray Conniff,1963,Marc Blitzstein,None,7,307,3.75
Macon,Jamey Johnson,2009,Kacey Coppola,None,2,0,5
Lady,Fela Kuti,1972,Fela Kuti,International,7,4,3.928571429
Made in America,Toby Keith,2011,Toby Keith,None,3,1,4
Madronos,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Magdalena and the Jack of Spades,Katy Moffatt,2001,Katy Moffatt,None,1,0,4
Magic Moments,Perry Como,1990,Nino Rota,Pop/Rock,114,0,4.2
Magic Ring,Moondog,1971,Moondog,None,2,0,3
Magnificat,Arvo Pärt,2016,Arvo Pärt,None,1,4,None
Magnificat,Arvo Pärt,2016,Arvo Pärt,None,1,4,None
"Magnificat, for chorus",Estonian Philharmonic Chamber Choir / Arvo Pärt / Tallinn Chamber Orchestra,1993,Arvo Pärt,None,1,5,4.5
"Magnificat, for chorus",Estonian Philharmonic Chamber Choir / Arvo Pärt / Tallinn Chamber Orchestra,1993,Arvo Pärt,None,1,5,4.5
Magnolia,Tish Hinojosa,1996,Tish Hinojosa,None,2,0,3.75
Magumede,The Bhundu Boys,1989,David Mankaba,None,2,0,3.5
Last Name,Carrie Underwood,2007,Luke Laird,Country,3,4,3.633333333
Learning to Live Again,Garth Brooks,1992,Stephanie Davis,Country,4,4,3.925
Main Street Electrical Parade,Disney,1991,Richard M. Sherman,None,1,0,4
Main Theme,Skywalker Symphony Orchestra / John Williams,1930,John Williams,Classical,1,12,None
Main Theme,Skywalker Symphony Orchestra / John Williams,1930,John Williams,Classical,1,12,None
Main Theme,Skywalker Symphony Orchestra / John Williams,1930,John Williams,Classical,1,12,None
Main Theme,Cincinnati Pops Orchestra / Erich Kunzel,1984,Jean Sibelius,None,3,0,3
Main Theme,Cincinnati Pops Orchestra / Erich Kunzel,1984,Marvin Hamlisch,None,3,0,3
The Anchor Song,Björk,1993,Björk,Pop/Rock,7,4,4.8
Main Title,John Williams,1975,John Williams,Stage,4,6,4.3
Much Too Young (To Feel This Damn Old),Garth Brooks,1989,Garth Brooks,Country,6,4,3.55
Main Title And First Victim,John Williams,2020,John Williams,None,6,0,None
Main Title And First Victim,John Williams,2020,John Williams,None,6,0,None
Main Title And First Victim,John Williams,2020,John Williams,None,6,0,None
"Main Title From ""Man With The Golden Arm""",Elmer Bernstein / Elmer Bernstein Orchestra,2015,Rozz Williams,None,1,0,3.5
"Main Title From ""Man With The Golden Arm""",Elmer Bernstein / Elmer Bernstein Orchestra,2015,Rozz Williams,None,1,0,3.5
Main Titles,L. Subramaniam,1988,L. Subramaniam,None,1,0,2.5
Mairzy Doats,"Sharon, Lois & Bram",1991,Milton Drake,None,4,30,None
Our Mother the Mountain,Townes Van Zandt,1969,Townes Van Zandt,Country,9,4,3.728571429
After All the Good Is Gone,Conway Twitty,1976,Floyd Cramer,Country,49,1,2.588461538
Make It With You,Henry Mancini / Doc Severinsen,1973,David Gates,None,1,80,None
Rumor Has It,Reba McEntire,1990,Bruce Burch,Country,7,4,3.657142857
Make the World Go Away,Jamey Johnson,2012,Hank Cochran,None,1,94,4
Dance With the One That Brought You,Shania Twain,1993,Sam Hogin,Country,2,1,2.55
House Rent Boogie,John Lee Hooker,1970,Bernard Besman,Blues,53,1,2.951219512
I Won't Mention It Again,Ray Price,1971,Cam Mullins,Country,25,1,2.83125
She Used to Love Me a Lot,David Allan Coe,1985,Kye Fleming,Country,3,4,3.55
Willy the Wandering Gypsy and Me,Billy Joe Shaver,1973,Billy Joe Shaver,Country,1,4,4.8
Making Love in the Rain,Herb Alpert,1987,James Harris III,None,5,0,3.5
Mako Neighbour,Arrow,2002,Alphonsus Cassell,None,1,0,2.5
Malagueña,Esquivel,1995,Ernesto Lecuona,Aggressive,2,183,4.25
Malagueña,Paco de Lucía / Ricardo Modrego,2005,Ernesto Lecuona,None,3,183,4
Malagueña,Ernesto Lecuona,1989,Ernesto Lecuona,None,5,183,3.5
Romping Through the Swamp,Dave Van Ronk,1992,Peter Stampfel,Folk,2,3,2.25
Stranger,Kris Kristofferson,1975,Kris Kristofferson,Country,11,4,3.663636364
Mali Niale,Oumou Sangaré,2017,Oumou Sangaré,None,2,0,None
Malinga,Kanda Bongo Man,1995,None,None,2,0,None
"Malurous qu'o uno fenno, folksong for voice & orchestra (Chants d'Auvergne, Series 3, No. 5)",English Chamber Orchestra / Kiri Te Kanawa,1999,Joseph Canteloube,None,2,1,4.5
Mama,Hugh Masekela,1975,Trevor Gordon,None,5,0,4
Love Is Like A Butterfly,Dolly Parton,1975,Dolly Parton,Country,36,6,3.459090909
My Time After Awhile,Buddy Guy,1971,Ron Badger,Blues,15,6,3.458333333
Love in the First Degree,Alabama,1980,Tim DuBois,Country,20,1,2.942857143
Maajo,King Sunny Ade,1983,King Sunny Ade,International,3,1,2.833333333
"Mama, I Wanna Make Rhythm",The Chenille Sisters,1991,Richard Byron,None,2,8,3.75
One's on the Way,Loretta Lynn,1971,Shel Silverstein,Country,37,6,3.207407407
"Mame, musical~We Need a Little Christmas",Cincinnati Pops Orchestra / Indiana University Singing Hoosiers / Erich Kunzel,2006,Jerry Herman,None,1,4,3.5
"Mame, musical~We Need a Little Christmas",Cincinnati Pops Orchestra / Indiana University Singing Hoosiers / Erich Kunzel,2006,Jerry Herman,None,1,4,3.5
Mamma Mia,James Last,2004,James Last,None,1,0,None
Man in the Station,John Martyn,1975,John Martyn,Pop/Rock,15,8,4.45
Tres minutos con la realidad,Astor Piazzolla,1993,Astor Piazzolla,International,17,6,3.416666667
Under Your Spell Again,Buck Owens,1964,Buck Owens,Country,14,6,3.411111111
Mandinque Drumming,Boukman Eksperyans,1999,None,None,1,0,4
Mandoline,Claude Debussy,Unknown,Paul Verlaine,None,1,0,None
Manha de Carnaval,Astrud Gilberto,1967,Luiz Bonfá,International,21,110,None
Manhenga,The Bhundu Boys,1990,Shakie Kangwena,None,1,0,4.5
Manifold,Oneohtrix Point Never,2018,Oneohtrix Point Never,None,1,0,4.5
"Manon Lescaut, opera~Donna Non Vidi Mai",Luciano Pavarotti,1933,Giacomo Puccini,Classical,5,9,None
"Ernani, opera~Mercè, diletti amici. . . Dell'esilio nel dolore",Giuseppe Verdi,1937,Giuseppe Verdi,Classical,1,0,0.7
Buffalo Skinners,Woody Guthrie,1964,Woody Guthrie,Folk,13,0,1.2
Marbles,Plastikman,1994,Richie Hawtin,Electronic,3,0,3.566666667
"March From the Nutcracker Ballet, Op. 71 (Act I)",Philadelphia Orchestra,2013,Pyotr Il'yich Tchaikovsky,None,1,1,None
March From the River Kwai,Mitch Miller & the Sing-Along Gang,1989,M. Arnold,None,1,1,3
March from the River Kwai/Colonel Bogey,Mitch Miller,1961,M. Arnold,None,2,0,3.75
March March,The Chicks,2020,Mary Francis,None,1,0,4
March Medley for orchestra,Cincinnati Pops Orchestra / Erich Kunzel,1987,Emmanuel Chabrier,None,1,0,4
March Medley for orchestra,Cincinnati Pops Orchestra / Erich Kunzel,1987,Brad Fiedel,None,1,0,4
My Only Love,The Statler Brothers,1970,Jimmy Fortune,Country,4,1,2.8
Marche du Soldat: Airs de marche,,2021,Igor Stravinsky,None,1,0,None
Marche Royale,,2021,Igor Stravinsky,None,1,0,None
"Marche Slave in B-flat major, Op. 31",Cincinnati Pops Orchestra,2015,Pyotr Il'yich Tchaikovsky,None,2,0,None
Marche triomphale du diable,,2021,Igor Stravinsky,None,1,0,None
Mardi Gras Song,BeauSoleil / Michael Doucet,2009,Michael Doucet,None,1,0,3.5
Sugar Mama,John Lee Hooker,1960,John Lee Hooker,Blues,37,4,3.586956522
Take Me Down,Alabama,1982,Mark Gray,Country,11,4,3.754545455
Maria la O,Ernesto Lecuona,1989,Ernesto Lecuona,None,6,54,3.5
Mariaj a Zaka,Boukman Eksperyans,1998,None,None,2,0,2.5
Mariaj a Zaka (Zaka's Wedding),Boukman Eksperyans,1998,"Theodore ""Lolo"" Beaubrun, Jr.",None,1,0,2.5
Marie,Irving Berlin,2000,Irving Berlin,None,3,141,3.25
Marieka,Chad Mitchell,1966,Jacques Brel,None,2,0,3.5
Marij A Zaka,Boukman Eksperyans,1999,None,None,1,0,4
Oklahoma Borderline,Vince Gill,1984,Guy Clark,Country,16,1,2.761538462
Market Place,Hugh Masekela,2000,Hugh Masekela,None,3,1,4
Waves on the Sea,The Chad Mitchell Trio,1965,Chad Mitchell,Happy,3,1,1.666666667
"You're in Love, Charlie Brown",George Winston,1996,Vince Guaraldi,New,3,4,4.5
Mars Garden,Juan Atkins / Moritz von Oswald,2013,None,None,2,0,None
Martha Stewart...Victoria's Secret...Bob Dylan...Pachelbel?,Christine Lavin,2004,Christine Lavin,None,1,0,3.5
Martians at Work,Infiniti,1995,Juan Atkins,None,2,0,4.25
Mary Go Round,Jamey Johnson,2008,Wyatt Beard,None,1,0,4
Mary Had A Baby,Kathleen Battle,1986,Traditional,Joyous,2,43,3.75
Mary Hamilton,Joan Baez,2011,None,None,12,0,3
The Circle Is Small,Gordon Lightfoot,1968,Gordon Lightfoot,Pop/Rock,10,4,3.916666667
Mary Magdalene,Patty Larkin,1995,Patty Larkin,None,1,0,4
"Mary, Did You Know?",Carrie Underwood,2020,Buddy Greene,None,20,158,3
When I Call Your Name,Vince Gill,1989,Tim DuBois,Country,19,6,3.133333333
Zoolookologie,Jean-Michel Jarre,1984,Jean-Michel Jarre,Avant-Garde,5,4,4.5
Mas Wi Loli,Diana Haddad / Cheb Khaled,2004,None,None,3,0,None
Biyuya,Astor Piazzolla,1986,Astor Piazzolla,International,13,5,3.333333333
Sunny Goodge Street,Donovan,1968,Donovan,Folk,16,3,2.111111111
Matilda,Harry Belafonte,1990,None,International,25,0,None
"Matilda, Matilda",Harry Belafonte,1992,None,None,15,0,3
Matta Taal,Zakir Hussain,1986,None,None,3,0,None
Sweet Sir Galahad,Joan Baez,1970,Joan Baez,Folk,4,3,2.375
Cry Myself to Sleep,The Judds,1983,Paul Kennerley,Country,10,5,3.3625
Maus Mobil,Mouse on Mars,1994,Andi Toma,None,3,0,3.833333333
MAW Expensive (A Tribute To Fela),Masters at Work,2002,Fela Kuti,None,1,1,3
Acony Bell,Gillian Welch,1996,David Rawlings,Folk,4,2,2.375
May I Suggest,The Chenille Sisters,2007,Cheryl Dawdy,None,1,0,None
Blame It on the Times,Willie Nelson,1978,Willie Nelson,Country,46,2,2.069230769
The Click Song,Miriam Makeba,1991,Miriam Makeba,Pop/Rock,7,4,4
Maybelle's Guitar and Monroe's Mandolin,Robin & Linda Williams,2008,Robin & Linda Williams,None,1,0,4
Mayi a Gaye,Boukman Eksperyans,1992,Traditional,None,2,0,4.25
Mayn Dreydl,Rachel Buchman,2000,Sore Barkan,None,1,0,3
$1000 Wedding,Gram Parsons,1974,Gram Parsons,Pop/Rock,4,5,4.875
Mazurka in G,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Mazurka No. 27 in E minor Op. 41/2,Vladimir Horowitz,2005,Frédéric Chopin,None,1,0,None
Mazurka No. 7 in F minor Op. 7/3,Vladimir Horowitz,2005,Frédéric Chopin,None,1,0,None
Mbaka AKA,Mahlathini,1993,Thoko Nontsontwa,None,1,0,4
Mbaqanga,Mahlathini & the Mahotella Queens / Mahotella Queens,2000,Marks Mankwane,None,1,2,3.5
Down on the Farm,Tim McGraw,1994,Jerry Laseter,Country,10,5,3.371428571
Buckskin Stallion Blues,Townes Van Zandt,1978,Townes Van Zandt,Pop/Rock,5,5,4.5
Close Encounters of the Third Kind: Suite,Boston Pops Orchestra,1995,John Williams,Stage,1,5,5
Mbube,Ladysmith Black Mambazo,2000,Solomon Linda,None,4,15,4
Mbube,Ladysmith Black Mambazo,2000,Solomon Linda,None,4,15,4
Mbube 2020,Bokkieult / Cuebur / Mahotella Queens / Moti,2020,Munya Chanetsa,None,1,0,None
Facades,Philip Glass,1988,Philip Glass,Avant-Garde,3,5,3.166666667
C'Est la Vie,Jean-Michel Jarre,2000,Jean-Michel Jarre,Happy,5,2,2.25
Me and Bobby McGee,Loretta Lynn,1971,Fred Foster,None,15,104,2.3125
Me and Dennis Mcgee,BeauSoleil,2004,Michael Doucet,None,1,1,4
Here in the Real World,Alan Jackson,1989,Mark Irwin,Country,12,5,3.45
Me and the Man in the Moon,"Cliff ""Ukelele Ike"" Edwards",1929,Edgar Leslie,None,1,5,3
Me and the Morning,Red Grammer,1987,Red Grammer,None,1,0,3
Me Esta Matando,Flaco Jiménez / Oscar Tellez,1992,John Lennon,None,1,0,3
High Lonesome Sound,Vince Gill,1996,Vince Gill,Country,5,5,3.1
Me Tocca de Lavorà Fortunella,Nino Rota,1996,Nino Rota,None,2,0,None
Me Tocca de Lavorà Fortunella,Nino Rota,1996,Nino Rota,None,2,0,None
I Know Where I'm Going,The Judds,1987,Craig Bickhardt,Country,9,5,3.4
Me Voy Lejos,Flaco Jiménez / Tomás Ortiz,2014,Jesus Fabela,None,1,0,2.5
Mean,Taylor Swift,2010,Taylor Swift,None,10,9,3.75
Meanwhile Back at Mama's,Tim McGraw,2014,Tom Douglas,None,6,2,3.25
Medeley 2 Afro Zouk: All Nighit,Mahlathini,1998,None,None,1,0,None
The Seduction (Love Theme),James Last,1980,Giorgio Moroder,Easy,3,4,4
Crazy Dreams,Patsy Cline,1964,Charles Beam,Country,59,2,2.455172414
Medley,Ebenezer Obey,1989,None,None,1,0,4.5
Medley,The Chieftains,1973,None,None,11,0,3.954545455
Medley,John Fahey,1972,None,None,10,0,3.75
Medley,Klezmer Conservatory Band,1989,None,None,3,0,3.5
Medley,Klezmer Conservatory Band,1989,Traditional,None,3,0,3.5
Medley,"Sharon, Lois & Bram",1978,Merle Travis,None,7,0,3.5
Medley,John McCutcheon,1977,Traditional,None,6,0,3.333333333
Medley,John McCutcheon,1977,Traditional,None,6,0,3.333333333
Medley,Liberace,1990,Maxwell Anderson,None,8,0,2.75
Medley (Three English Carols): I Saw Three Ships / The First Nowell / The Holly and the Ivy,Kathleen Battle,1986,Traditional,None,1,0,4.5
Medley: Bully of the Town/Bonaparte's Retreat/Richland Avenue Rag,Norman Blake,1976,Traditional,None,1,0,2.5
Medley: O Come All Ye Faithful / Joy to the World,Canadian Brass,1995,Traditional,None,1,0,4
Medley: O Come All Ye Faithful / Joy to the World,Canadian Brass,1995,Traditional,None,1,0,4
Medley: O Come All Ye Faithful / Joy to the World,Canadian Brass,1995,Traditional,None,1,0,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley: The Battle of New Orleans/Sugarfoot Rag,Chet Atkins / Boston Pops Orchestra / Arthur Fiedler,2003,Jimmie Driftwood,None,1,1,4
Medley~Maria/Tonight/O' passe d' 'o sole/Cielito lindo,José Carreras / Plácido Domingo / Luciano Pavarotti,2002,Vincenzo d'Annibale,None,1,0,None
Medley~Maria/Tonight/O' passe d' 'o sole/Cielito lindo,José Carreras / Plácido Domingo / Luciano Pavarotti,2002,Vincenzo d'Annibale,None,1,0,None
To Beat The Devil,Kris Kristofferson,1970,Kris Kristofferson,Country,12,4,3.633333333
Is Anybody Goin' to San Antone,Charley Pride,1970,Dave Kirby,Country,16,5,3.163636364
Dusty Box Car Wall,Eric Andersen,1965,Eric Andersen,Folk,8,2,2.166666667
Melodia Per Fortunella,Nino Rota,1996,Nino Rota,None,2,0,None
Melodia Per Fortunella,Nino Rota,1996,Nino Rota,None,2,0,None
Katie Mae,Lightnin' Hopkins,1961,Lightnin' Hopkins,Blues,25,5,3.088235294
Cold Day in July,The Chicks,1999,Richard Leigh,Country,2,5,4.8
Memories,Stéphane Grappelli / L. Subramaniam,1984,L. Subramaniam,None,1,0,4.5
When the Lights Go Out,Jimmy Witherspoon,1959,Willie Dixon,Blues,19,4,4
Whoever's in New England,Reba McEntire,1986,Kendal Franceschi,Country,22,4,3.663636364
Whoever's in New England,Reba McEntire,1986,Kendal Franceschi,Country,22,4,3.663636364
Corinna,Taj Mahal,1972,Jesse Ed Davis,Blues,6,5,3.5
Memory,Richard Clayderman,1993,T.S. Eliot,None,17,168,2.75
Men Who Love Women Who Love Men,Steve Goodman,1979,Steve Goodman,None,3,0,3.833333333
Menuet des Follets,,2005,Hector Berlioz,None,1,0,None
Menuet des Follets,,2005,Hector Berlioz,None,1,0,None
Mera Sohna Sejan,Nusrat Fateh Ali Khan,2007,Nusrat Fateh Ali Khan,None,1,0,3
Mercedes Benz,Taj Mahal,1997,Janis Joplin,None,6,15,2.625
Who's Cheatin' Who,Alan Jackson,1996,Jerry Hayes,Country,6,4,3.8
Whose Garden Was This,Tom Paxton,1970,Tom Paxton,Pop/Rock,6,4,4
Mercury in Retrograde,Sturgill Simpson,2019,Sturgill Simpson,None,1,0,3
Mercy Is,Kronos Quartet / Patti Smith,2014,Lenny Kaye,None,1,1,4
Merioula Ain Ti Sbabg,Cheb Khaled,2003,None,None,2,0,None
Meron Nign,Klezmer Conservatory Band,2000,Traditional,None,1,2,3
Meron Nign,Klezmer Conservatory Band,2000,Traditional,None,1,2,3
Meron Nign (Tune from Meron),Klezmer Conservatory Band,1997,Traditional,None,2,0,3.5
Meron Nign (Tune from Meron),Klezmer Conservatory Band,1997,Traditional,None,2,0,3.5
Akanaki Nokunaka,Johnny Clegg / Johnny Clegg & Juluka / Juluka,1996,Johnny Clegg,International,1,1,3
Love Will Find Its Way to You,Reba McEntire,1987,Dave Loggins,Country,8,5,3.4
"Merry Christmas, Darling",Carpenters / Royal Philharmonic Orchestra,2001,Richard Carpenter,None,44,62,4
"Merry Christmas, Darling",Carpenters / Royal Philharmonic Orchestra,2001,Richard Carpenter,None,44,62,4
Merry F#%$in' Christmas,Denis Leary,2004,Chris Phillips,None,1,0,3
Mesaj a Ginen,Boukman Eksperyans,1998,None,None,2,0,2.5
Mesaj a Ginen (Ginen's Message),Boukman Eksperyans,1998,"Theodore ""Lolo"" Beaubrun, Jr.",None,1,0,2.5
Gorecki,Lamb,1996,Andy Barlow,Electronic,13,2,2.2125
"Hey Babe, Have You Been Cheatin'",Eric Andersen,1966,Eric Andersen,Folk,6,2,2.166666667
A Worried Man,The Kingston Trio,1959,Tom Glazer,Folk,33,2,2
In the Quiet Morning,Joan Baez,1972,Mimi Fariña,Folk,8,2,2.142857143
Didn't Leave Nobody But the Baby,Emmylou Harris / Alison Krauss / Gillian Welch,2006,Traditional,Folk,3,2,2
Silent Night,Vienna Boys' Choir,1930,Franz Gruber,Classical,8,0,1.5
A Holly Jolly Christmas,Burl Ives,1965,Johnny Marks,Folk,301,0,1.743243243
Messin' Around,Memphis Slim,1971,Peter Chatman,None,14,0,4
Messin' with the Kid,Buddy Guy / Junior Wells,1999,Junior Wells,Blues,8,0,None
Love Will Find Its Way to You,Reba McEntire,1987,Dave Loggins,Country,8,5,3.4
Metal Drums,Patty Larkin,1990,Patty Larkin,None,1,3,4
Mexicali Rose,Riders in the Sky,1996,Helen Stone,Country,1,44,4.3
Mama He's Crazy,The Judds,1983,Kenny O'Dell,Country,25,5,3.39375
Pamela Brown,Leo Kottke,1974,Tom T. Hall,Sentimental,4,5,3.375
Take It Back,Reba McEntire,1992,Kristy Jackson,Country,8,5,3.383333333
Blues Ain't Nothin',Taj Mahal,1993,Taj Mahal,Blues,5,1,3
MF 3192a (No. 8d): Ezmeyinen Üzmeyinen,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3192b (No. 13b): Dignen Agalar Da Birem Söyleyim,Béla Bartók,1996,Béla Bartók,None,1,0,None
"MF 3193 (No. 20): Pencereden Mayil, Mayil Bakan Yar",Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3194 (No. 9): Bu Almayi Kim Disledi?,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3195 (No. 21a): Bir Emir Gelse de Kâhyalar Asilsa,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3196 (No. 30): Karsidan Geliyor Gözelin Biri,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3197 És 3198 (No. 17c) Zeytinbeli Gürleyerek,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3199,Béla Bartók,1996,Béla Bartók,None,1,0,None
MF 3200 (No. 35): Zabahdan Ogradim Ben Bir Geline,Béla Bartók,1996,Béla Bartók,None,1,0,None
Mi Buenos Aires Querido,Plácido Domingo / Roberto Pansera,2000,Alan Jay Lerner,None,1,0,3
Mi Buenos Aires Querido,Plácido Domingo / Roberto Pansera,2000,None,None,1,0,3
Mia,Plácido Domingo,2002,Armando Manzanero,None,2,33,None
Mia,Plácido Domingo,2002,Armando Manzanero,None,2,33,None
Miami Beach,Jackie Mason,2014,Jackie Mason,None,2,0,None
Miami Beach Rhumba,Xavier Cugat,1993,Irving Fields,Latin,7,2,3.166666667
Michael Kills Again,John Carpenter,2018,Cody Carpenter,None,1,0,4
Wild Montana Skies,John Denver / Emmylou Harris,1996,John Denver,Country,11,4,3.7
